,OBJECTID,ARREST_DATE,TOP_CHARGE_DESC,HOME_PSA,CRIME_PSA,District
6151,6152,2012-11-16T00:00:00.000Z,SIMPLE ASSAULT,705,705,7
6152,6153,2012-11-16T00:00:00.000Z,THEFT 1ST DEGREE,OUT OF STATE,206,2
6153,6154,2012-11-17T00:00:00.000Z,THEFT 2ND DEGREE,101,302,3
6154,6155,2012-11-17T00:00:00.000Z,SIMPLE ASSAULT,308,602,6
6155,6156,2012-11-17T00:00:00.000Z,SIMPLE ASSAULT,308,602,6
6156,6157,2012-11-17T00:00:00.000Z,ABSCONDER W/ARREST,401,302,3
6157,6158,2012-11-17T00:00:00.000Z,SIMPLE ASSAULT,504,504,5
6159,6160,2012-11-17T00:00:00.000Z,"ASSAULT ON MEMBER OF POLICE FORCE, CAMPUS OR UNIVERSITY",602,602,6
6160,6161,2012-11-17T00:00:00.000Z,UCSA DIST COCAINE/CRACK COCAINE,602,602,6
6161,6162,2012-11-17T00:00:00.000Z,"ROBBERY, SNATCH OR PURSESNATCH (FORCE)",703,703,7
6162,6163,2012-11-17T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",705,706,7
6163,6164,2012-11-17T00:00:00.000Z,"ASSAULT, FELONY",706,706,7
6164,6165,2012-11-17T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",706,706,7
6165,6166,2012-11-17T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",OUT OF STATE,204,2
6166,6167,2012-11-17T00:00:00.000Z,FELONY MURDER,OUT OF STATE,204,2
6167,6168,2012-11-17T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",OUT OF STATE,204,2
6168,6169,2012-11-17T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",OUT OF STATE,204,2
6169,6170,2012-11-17T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",OUT OF STATE,204,2
6170,6171,2012-11-17T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",OUT OF STATE,204,2
6171,6172,2012-11-17T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",OUT OF STATE,204,2
6172,6173,2012-11-17T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",OUT OF STATE,204,2
6173,6174,2012-11-17T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",UNK,204,2
6174,6175,2012-11-18T00:00:00.000Z,SIMPLE ASSAULT,502,502,5
6175,6176,2012-11-18T00:00:00.000Z,CARRYING A PISTOL,601,602,6
6176,6177,2012-11-18T00:00:00.000Z,CUSTODY ORDER,602,105,1
6177,6178,2012-11-18T00:00:00.000Z,SIMPLE ASSAULT,603,603,6
6178,6179,2012-11-18T00:00:00.000Z,CUSTODY ORDER,604,105,1
6179,6180,2012-11-18T00:00:00.000Z,ATTEMPT TO COMMIT ROBBERY,OUT OF STATE,305,3
6180,6181,2012-11-19T00:00:00.000Z,SIMPLE ASSAULT,305,305,3
6181,6182,2012-11-19T00:00:00.000Z,BURGLARY TWO,308,402,4
6182,6183,2012-11-19T00:00:00.000Z,UCSA POSS MARIJUANA,602,602,6
6183,6184,2012-11-19T00:00:00.000Z,ABSCONDER W/ARREST,703,703,7
6184,6185,2012-11-20T00:00:00.000Z,ABSCONDER W/ARREST,403,407,4
6185,6186,2012-11-20T00:00:00.000Z,FAILURE TO APPEAR (BRA),404,404,4
6186,6187,2012-11-20T00:00:00.000Z,CUSTODY ORDER,409,409,4
6187,6188,2012-11-20T00:00:00.000Z,SIMPLE ASSAULT,507,507,5
6188,6189,2012-11-20T00:00:00.000Z,SIMPLE ASSAULT,507,507,5
6189,6190,2012-11-20T00:00:00.000Z,SIMPLE ASSAULT,601,601,6
6190,6191,2012-11-20T00:00:00.000Z,SIMPLE ASSAULT,601,601,6
6191,6192,2012-11-20T00:00:00.000Z,ABSCONDER W/ARREST,604,604,6
6192,6193,2012-11-20T00:00:00.000Z,JUVENILE CUSTODY ORDER - PREPETITION,604,604,6
6193,6194,2012-11-21T00:00:00.000Z,POSSESSION OF BB GUN ON PUBLIC SPACE,308,104,1
6194,6195,2012-11-21T00:00:00.000Z,ABSCONDER W/ARREST,403,302,3
6195,6196,2012-11-21T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,501,106,1
6196,6197,2012-11-21T00:00:00.000Z,ABSCONDER W/ARREST,502,302,3
6197,6198,2012-11-21T00:00:00.000Z,ABSCONDER W/ARREST,507,405,4
6198,6199,2012-11-21T00:00:00.000Z,SIMPLE ASSAULT,603,602,6
6200,6201,2012-11-21T00:00:00.000Z,UNLAWFUL ENTRY,706,706,7
6201,6202,2012-11-22T00:00:00.000Z,ABSCONDER W/ARREST,708,409,4
6202,6203,2012-11-23T00:00:00.000Z,FUGITIVE FROM JUSTICE,308,305,3
6203,6204,2012-11-23T00:00:00.000Z,UNLAWFUL ENTRY,607,703,7
6204,6205,2012-11-23T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",702,702,7
6205,6206,2012-11-23T00:00:00.000Z,DESTRUCTION OF PROPERTY (MISD),705,105,1
6206,6207,2012-11-23T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",708,708,7
6207,6208,2012-11-24T00:00:00.000Z,THEFT SECOND DEGREE,308,101,1
6208,6209,2012-11-25T00:00:00.000Z,SIMPLE ASSAULT,403,403,4
6209,6210,2012-11-25T00:00:00.000Z,SIMPLE ASSAULT,405,303,3
6210,6211,2012-11-25T00:00:00.000Z,DESTRUCTION OF PROPERTY (MISD),405,502,5
6211,6212,2012-11-25T00:00:00.000Z,THREATS (FELONY),604,601,6
6212,6213,2012-11-25T00:00:00.000Z,SIMPLE ASSAULT,703,703,7
6213,6214,2012-11-25T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,UNK,507,5
6214,6215,2012-11-26T00:00:00.000Z,THEFT SECOND DEGREE,302,302,3
6215,6216,2012-11-26T00:00:00.000Z,THEFT SECOND DEGREE,407,202,2
6216,6217,2012-11-26T00:00:00.000Z,THEFT SECOND DEGREE,505,302,3
6217,6218,2012-11-26T00:00:00.000Z,ADW KNIFE OR CUTTING INSTRUMENT,507,507,5
6218,6219,2012-11-26T00:00:00.000Z,ABSCONDER W/ARREST,603,108,1
6219,6220,2012-11-26T00:00:00.000Z,SIMPLE ASSAULT,701,604,6
6220,6221,2012-11-26T00:00:00.000Z,SIMPLE ASSAULT,707,707,7
6221,6222,2012-11-26T00:00:00.000Z,ROBBERY W/ARMED (GUN),OUT OF STATE,204,2
6222,6223,2012-11-26T00:00:00.000Z,ROBBERY W/ARMED (GUN),OUT OF STATE,204,2
6223,6224,2012-11-26T00:00:00.000Z,ROBBERY W/ARMED (GUN),OUT OF STATE,204,2
6224,6225,2012-11-26T00:00:00.000Z,ROBBERY W/ARMED (GUN),OUT OF STATE,204,2
6225,6226,2012-11-26T00:00:00.000Z,SIMPLE ASSAULT,UNK,406,4
6226,6227,2012-11-27T00:00:00.000Z,ABSCONDER W/ARREST,103,103,1
6227,6228,2012-11-27T00:00:00.000Z,FAILURE TO APPEAR (BRA),502,102,1
6228,6229,2012-11-27T00:00:00.000Z,SIMPLE ASSAULT,601,304,3
6229,6230,2012-11-27T00:00:00.000Z,SIMPLE ASSAULT,705,402,4
6230,6231,2012-11-28T00:00:00.000Z,"ROBBERY, SNATCH OR PURSESNATCH (FORCE)",108,105,1
6231,6232,2012-11-28T00:00:00.000Z,CUSTODY ORDER,304,304,3
6232,6233,2012-11-28T00:00:00.000Z,UCSA DIST COCAINE/CRACK COCAINE,402,402,4
6233,6234,2012-11-28T00:00:00.000Z,JUVENILE CUSTODY ORDER - PREPETITION,403,403,4
6234,6235,2012-11-28T00:00:00.000Z,SIMPLE ASSAULT,405,405,4
6235,6236,2012-11-28T00:00:00.000Z,CUSTODY ORDER,407,102,1
6236,6237,2012-11-28T00:00:00.000Z,"ROBBERY, SNATCH OR PURSESNATCH (FORCE)",407,105,1
6237,6238,2012-11-28T00:00:00.000Z,SIMPLE ASSAULT,505,505,5
6238,6239,2012-11-28T00:00:00.000Z,SIMPLE ASSAULT,603,603,6
6239,6240,2012-11-28T00:00:00.000Z,FAILURE TO APPEAR (BRA),606,702,7
6240,6241,2012-11-28T00:00:00.000Z,APO (MISD),701,703,7
6241,6242,2012-11-28T00:00:00.000Z,THEFT 2ND DEGREE,702,603,6
6242,6243,2012-11-28T00:00:00.000Z,"ROBBERY, SNATCH OR PURSESNATCH (FORCE)",703,105,1
6243,6244,2012-11-28T00:00:00.000Z,"ROBBERY, SNATCH OR PURSESNATCH (FORCE)",704,105,1
6244,6245,2012-11-28T00:00:00.000Z,"ROBBERY, SNATCH OR PURSESNATCH (FORCE)",707,105,1
6245,6246,2012-11-29T00:00:00.000Z,THREATS (MISD),105,501,5
6246,6247,2012-11-29T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",108,107,1
6247,6248,2012-11-29T00:00:00.000Z,APO (MISD),501,501,5
6248,6249,2012-11-29T00:00:00.000Z,"ROBBERY, FEAR",507,507,5
6249,6250,2012-11-29T00:00:00.000Z,"ROBBERY, FEAR",507,507,5
6250,6251,2012-11-29T00:00:00.000Z,ABSCONDER W/ARREST,603,603,6
6252,6253,2012-11-29T00:00:00.000Z,SIMPLE ASSAULT,607,607,6
6253,6254,2012-11-29T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",703,107,1
6254,6255,2012-11-29T00:00:00.000Z,RECEIVING STOLEN PROPERTY-MISD,704,107,1
6255,6256,2012-11-29T00:00:00.000Z,ADW KNIFE OR CUTTING INSTRUMENT,704,705,7
6256,6257,2012-11-29T00:00:00.000Z,RECEIVING STOLEN PROPERTY-MISD,707,107,1
6258,6259,2012-11-30T00:00:00.000Z,THEFT SECOND DEGREE,603,603,6
6259,6260,2012-11-30T00:00:00.000Z,"BURGLARY, ATTEMPT",605,702,7
6260,6261,2012-11-30T00:00:00.000Z,ADW KNIFE OR CUTTING INSTRUMENT,703,402,4
6261,6262,2012-11-30T00:00:00.000Z,APO (MISD),706,706,7
6262,6263,2012-11-30T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,707,707,7
6263,6264,2012-12-01T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",302,405,4
6264,6265,2012-12-01T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,502,603,6
6265,6266,2012-12-01T00:00:00.000Z,APO (FELONY),602,104,1
6266,6267,2012-12-01T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",607,405,4
6267,6268,2012-12-01T00:00:00.000Z,CONTEMPT OF COURT,702,603,6
6268,6269,2012-12-01T00:00:00.000Z,ABSCONDER W/ARREST,708,105,1
6269,6270,2012-12-02T00:00:00.000Z,SIMPLE ASSAULT,103,105,1
6270,6271,2012-12-02T00:00:00.000Z,SIMPLE ASSAULT,103,105,1
6271,6272,2012-12-02T00:00:00.000Z,DESTRUCTION OF PROPERTY (MISD),402,302,3
6272,6273,2012-12-02T00:00:00.000Z,DESTRUCTION OF PROPERTY (MISD),603,302,3
6273,6274,2012-12-02T00:00:00.000Z,SIMPLE ASSAULT,608,608,6
6274,6275,2012-12-03T00:00:00.000Z,DESTRUCTION OF PROPERTY (MISD),302,302,3
6275,6276,2012-12-03T00:00:00.000Z,ADW OTHER DANGEROUS WEAPON,303,404,4
6276,6277,2012-12-03T00:00:00.000Z,SIMPLE ASSAULT,405,402,4
6277,6278,2012-12-03T00:00:00.000Z,SIMPLE ASSAULT,407,402,4
6278,6279,2012-12-03T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,602,507,5
6279,6280,2012-12-03T00:00:00.000Z,SIMPLE ASSAULT,604,604,6
6280,6281,2012-12-03T00:00:00.000Z,APO (MISD),605,605,6
6281,6282,2012-12-03T00:00:00.000Z,FUGITIVE FROM JUSTICE,708,308,3
6282,6283,2012-12-04T00:00:00.000Z,AFFRAYS,108,306,3
6283,6284,2012-12-04T00:00:00.000Z,CONTEMPT OF COURT,406,705,7
6284,6285,2012-12-04T00:00:00.000Z,SIMPLE ASSAULT,502,105,1
6285,6286,2012-12-04T00:00:00.000Z,POSSESSION OF BB GUN ON PUBLIC SPACE,507,104,1
6286,6287,2012-12-04T00:00:00.000Z,CUSTODY ORDER,603,703,7
6288,6289,2012-12-04T00:00:00.000Z,APO (FELONY),703,703,7
6289,6290,2012-12-04T00:00:00.000Z,THEFT SECOND DEGREE,706,307,3
6290,6291,2012-12-05T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",304,304,3
6291,6292,2012-12-05T00:00:00.000Z,SIMPLE ASSAULT,403,403,4
6292,6293,2012-12-05T00:00:00.000Z,SIMPLE ASSAULT,403,403,4
6293,6294,2012-12-05T00:00:00.000Z,"ROBBERY, SNATCH OR PURSESNATCH (FORCE)",405,101,1
6294,6295,2012-12-05T00:00:00.000Z,FAILURE TO APPEAR (BRA),405,407,4
6295,6296,2012-12-05T00:00:00.000Z,"ROBBERY, SNATCH OR PURSESNATCH (FORCE)",507,306,3
6296,6297,2012-12-05T00:00:00.000Z,APO (MISD),602,602,6
6297,6298,2012-12-05T00:00:00.000Z,ROBBERY W/ARMED (GUN),602,602,6
6298,6299,2012-12-05T00:00:00.000Z,POSSESSION OF BB GUN ON PUBLIC SPACE,607,701,7
6299,6300,2012-12-05T00:00:00.000Z,SIMPLE ASSAULT,608,608,6
6300,6301,2012-12-05T00:00:00.000Z,"POSSESSION OF PROHIBITED WEAPON (A) (BLACKJACK, GUN, KNIFE)",704,102,1
6301,6302,2012-12-05T00:00:00.000Z,ROBBERY W/ARMED (GUN),704,704,7
6302,6303,2012-12-05T00:00:00.000Z,UCSA POSS MARIJUANA,706,705,7
6303,6304,2012-12-05T00:00:00.000Z,SHOPLIFTING,708,107,1
6304,6305,2012-12-05T00:00:00.000Z,SOLICTING PROSTITUTION,UNK,506,5
6305,6306,2012-12-06T00:00:00.000Z,ABSCONDER W/ARREST,304,104,1
6306,6307,2012-12-06T00:00:00.000Z,SIMPLE ASSAULT,404,404,4
6308,6309,2012-12-06T00:00:00.000Z,ABSCONDER W/ARREST,604,105,1
6309,6310,2012-12-06T00:00:00.000Z,APO (MISD),604,608,6
6310,6311,2012-12-06T00:00:00.000Z,UCSA POSS MARIJUANA,702,703,7
6311,6312,2012-12-06T00:00:00.000Z,CUSTODY ORDER,703,703,7
6312,6313,2012-12-06T00:00:00.000Z,DESTRUCTION OF PROPERTY (MISD),704,409,4
6313,6314,2012-12-06T00:00:00.000Z,APO (MISD),OUT OF STATE,708,7
6314,6315,2012-12-06T00:00:00.000Z,FAILURE TO APPEAR (BRA),UNK,308,3
6315,6316,2012-12-07T00:00:00.000Z,AFFRAYS,103,703,7
6316,6317,2012-12-07T00:00:00.000Z,CUSTODY ORDER,304,302,3
6317,6318,2012-12-07T00:00:00.000Z,ROBBERY W/ARMED (GUN),507,507,5
6318,6319,2012-12-07T00:00:00.000Z,SIMPLE ASSAULT,602,602,6
6319,6320,2012-12-07T00:00:00.000Z,ADW GUN,608,608,6
6320,6321,2012-12-07T00:00:00.000Z,POSSESSION OF PROHIBITED WEAPON (PPW-B),OUT OF STATE,102,1
6321,6322,2012-12-07T00:00:00.000Z,SIMPLE ASSAULT,OUT OF STATE,407,4
6322,6323,2012-12-07T00:00:00.000Z,APO (MISD),OUT OF STATE,602,6
6323,6324,2012-12-08T00:00:00.000Z,ADW KNIFE OR CUTTING INSTRUMENT,302,608,6
6324,6325,2012-12-08T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",304,305,3
6325,6326,2012-12-08T00:00:00.000Z,UCSA POSS MARIJUANA,409,409,4
6326,6327,2012-12-08T00:00:00.000Z,SIMPLE ASSAULT,602,608,6
6327,6328,2012-12-08T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",603,602,6
6328,6329,2012-12-08T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",604,305,3
6329,6330,2012-12-08T00:00:00.000Z,FUGITIVE FROM JUSTICE,608,608,6
6330,6331,2012-12-08T00:00:00.000Z,POSSESSION OF BB GUN ON PUBLIC SPACE,702,703,7
6331,6332,2012-12-08T00:00:00.000Z,SHOPLIFTING,705,603,6
6332,6333,2012-12-08T00:00:00.000Z,DESTRUCTION OF PROPERTY (MISD),708,107,1
6333,6334,2012-12-08T00:00:00.000Z,APO (MISD),OUT OF STATE,101,1
6334,6335,2012-12-08T00:00:00.000Z,ABSCONDER W/ARREST,OUT OF STATE,503,5
6335,6336,2012-12-09T00:00:00.000Z,THEFT SECOND DEGREE,503,503,5
6336,6337,2012-12-09T00:00:00.000Z,SIMPLE ASSAULT,605,605,6
6337,6338,2012-12-09T00:00:00.000Z,"ROBBERY, FEAR",704,607,6
6338,6339,2012-12-09T00:00:00.000Z,UNLAWFUL ENTRY OF A MOTOR VEHICLE,708,407,4
6339,6340,2012-12-10T00:00:00.000Z,SIMPLE ASSAULT,103,501,5
6341,6342,2012-12-10T00:00:00.000Z,FUGITIVE FROM JUSTICE,604,604,6
6342,6343,2012-12-10T00:00:00.000Z,APO (MISD),701,105,1
6343,6344,2012-12-10T00:00:00.000Z,CUSTODY ORDER,702,702,7
6344,6345,2012-12-10T00:00:00.000Z,SIMPLE ASSAULT,704,501,5
6345,6346,2012-12-10T00:00:00.000Z,SIMPLE ASSAULT,708,501,5
6346,6347,2012-12-10T00:00:00.000Z,SIMPLE ASSAULT,OUT OF STATE,502,5
6347,6348,2012-12-10T00:00:00.000Z,SIMPLE ASSAULT,OUT OF STATE,502,5
6349,6350,2012-12-11T00:00:00.000Z,METRO FARE EVASION,405,404,4
6350,6351,2012-12-11T00:00:00.000Z,THEFT SECOND DEGREE,507,505,5
6351,6352,2012-12-11T00:00:00.000Z,"ROBBERY, PICKPOCKET",602,102,1
6352,6353,2012-12-11T00:00:00.000Z,FUGITIVE FROM JUSTICE,701,604,6
6353,6354,2012-12-11T00:00:00.000Z,CUSTODY ORDER,702,102,1
6354,6355,2012-12-11T00:00:00.000Z,SIMPLE ASSAULT,702,702,7
6355,6356,2012-12-11T00:00:00.000Z,ABSCONDER W/ARREST,702,707,7
6359,6360,2012-12-12T00:00:00.000Z,THEFT 2 (THEFT F/BUILDING),403,302,3
6360,6361,2012-12-12T00:00:00.000Z,ADW KNIFE OR CUTTING INSTRUMENT,506,506,5
6362,6363,2012-12-12T00:00:00.000Z,SIMPLE ASSAULT,602,608,6
6364,6365,2012-12-12T00:00:00.000Z,POSSESSION OF PROHIBITED WEAPON (PPW-B),604,608,6
6365,6366,2012-12-12T00:00:00.000Z,SIMPLE ASSAULT,607,608,6
6366,6367,2012-12-12T00:00:00.000Z,ABSCONDER W/ARREST,703,701,7
6367,6368,2012-12-12T00:00:00.000Z,SIMPLE ASSAULT,703,703,7
6368,6369,2012-12-12T00:00:00.000Z,THREATS (FELONY),UNK,304,3
6369,6370,2012-12-13T00:00:00.000Z,BURGLARY ONE,105,202,2
6370,6371,2012-12-13T00:00:00.000Z,BURGLARY ONE,307,202,2
6371,6372,2012-12-13T00:00:00.000Z,UNLAWFUL ENTRY,407,302,3
6372,6373,2012-12-13T00:00:00.000Z,"ROBBERY, FEAR",602,602,6
6373,6374,2012-12-13T00:00:00.000Z,TAMPERING WITH GPS DETECTION DEVICE,701,504,5
6374,6375,2012-12-13T00:00:00.000Z,ADW KNIFE OR CUTTING INSTRUMENT,701,701,7
6375,6376,2012-12-13T00:00:00.000Z,FAILURE TO APPEAR (BRA),703,703,7
6376,6377,2012-12-13T00:00:00.000Z,SIMPLE ASSAULT,703,703,7
6377,6378,2012-12-13T00:00:00.000Z,SIMPLE ASSAULT,703,703,7
6379,6380,2012-12-13T00:00:00.000Z,AFFRAYS,707,701,7
6380,6381,2012-12-13T00:00:00.000Z,THEFT 2 (THEFT F/BUILDING),708,504,5
6382,6383,2012-12-14T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",102,202,2
6383,6384,2012-12-14T00:00:00.000Z,UCSA PWID MARIJUANA,507,602,6
6384,6385,2012-12-14T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,602,603,6
6385,6386,2012-12-14T00:00:00.000Z,SIMPLE ASSAULT,608,608,6
6386,6387,2012-12-14T00:00:00.000Z,UCSA POSS MARIJUANA,703,703,7
6387,6388,2012-12-14T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",703,703,7
6388,6389,2012-12-14T00:00:00.000Z,CUSTODY ORDER,704,601,6
6389,6390,2012-12-14T00:00:00.000Z,ABSCONDER W/ARREST,704,601,6
6390,6391,2012-12-14T00:00:00.000Z,ASSAULT W/I TO COMMIT ROBBERY (AWIR),707,705,7
6391,6392,2012-12-14T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,OUT OF STATE,603,6
6392,6393,2012-12-15T00:00:00.000Z,METRO FARE EVASION,608,506,5
6393,6394,2012-12-15T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",702,106,1
6394,6395,2012-12-15T00:00:00.000Z,THEFT SECOND DEGREE,704,606,6
6396,6397,2012-12-15T00:00:00.000Z,ROBBERY W/ARMED (GUN),708,708,7
6397,6398,2012-12-15T00:00:00.000Z,UCSA PWID MARIJUANA,OUT OF STATE,603,6
6398,6399,2012-12-16T00:00:00.000Z,FAILURE TO APPEAR (BRA),502,502,5
6399,6400,2012-12-16T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",507,103,1
6400,6401,2012-12-16T00:00:00.000Z,UNLAWFUL ENTRY,603,101,1
6401,6402,2012-12-16T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",705,103,1
6402,6403,2012-12-16T00:00:00.000Z,UNLAWFUL ENTRY,708,706,7
6403,6404,2012-12-16T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",OUT OF STATE,103,1
6404,6405,2012-12-17T00:00:00.000Z,CUSTODY ORDER,506,303,3
6405,6406,2012-12-17T00:00:00.000Z,THREATS TO DO BODILY HARM-MISD,506,506,5
6406,6407,2012-12-17T00:00:00.000Z,THEFT SECOND DEGREE,507,302,3
6407,6408,2012-12-17T00:00:00.000Z,THEFT SECOND DEGREE,507,302,3
6408,6409,2012-12-17T00:00:00.000Z,ROBBERY W/ARMED (GUN),601,601,6
6409,6410,2012-12-17T00:00:00.000Z,SIMPLE ASSAULT,608,608,6
6410,6411,2012-12-17T00:00:00.000Z,SIMPLE ASSAULT,608,608,6
6411,6412,2012-12-17T00:00:00.000Z,APO (MISD),608,608,6
6412,6413,2012-12-17T00:00:00.000Z,SIMPLE ASSAULT,702,607,6
6413,6414,2012-12-17T00:00:00.000Z,SIMPLE ASSAULT,702,607,6
6414,6415,2012-12-17T00:00:00.000Z,SIMPLE ASSAULT,702,607,6
6415,6416,2012-12-17T00:00:00.000Z,SIMPLE ASSAULT,702,607,6
6416,6417,2012-12-17T00:00:00.000Z,SIMPLE ASSAULT,704,707,7
6417,6418,2012-12-17T00:00:00.000Z,SIMPLE ASSAULT,705,707,7
6418,6419,2012-12-17T00:00:00.000Z,SIMPLE ASSAULT,708,607,6
6421,6422,2012-12-18T00:00:00.000Z,SIMPLE ASSAULT,405,406,4
6422,6423,2012-12-18T00:00:00.000Z,SIMPLE ASSAULT,407,406,4
6423,6424,2012-12-18T00:00:00.000Z,RECEIVING STOLEN PROPERTY,407,407,4
6425,6426,2012-12-18T00:00:00.000Z,UCSA POSS MARIJUANA,408,305,3
6426,6427,2012-12-18T00:00:00.000Z,SIMPLE ASSAULT,507,507,5
6427,6428,2012-12-18T00:00:00.000Z,TAMPERING WITH GPS DETECTION DEVICE,601,601,6
6428,6429,2012-12-18T00:00:00.000Z,ABSCONDER W/ARREST,602,608,6
6429,6430,2012-12-18T00:00:00.000Z,AGGRAVATED ASSAULT,603,608,6
6430,6431,2012-12-18T00:00:00.000Z,THREATS (FELONY),OUT OF STATE,502,5
6431,6432,2012-12-18T00:00:00.000Z,CUSTODY ORDER,OUT OF STATE,707,7
6432,6433,2012-12-19T00:00:00.000Z,FAILURE TO APPEAR (BRA),105,105,1
6433,6434,2012-12-19T00:00:00.000Z,JUVENILE CUSTODY ORDER - PREPETITION,302,102,1
6434,6435,2012-12-19T00:00:00.000Z,SIMPLE ASSAULT,302,402,4
6435,6436,2012-12-19T00:00:00.000Z,CARRYING A PISTOL,402,405,4
6436,6437,2012-12-19T00:00:00.000Z,ADW GUN,402,405,4
6437,6438,2012-12-19T00:00:00.000Z,ADW GUN,402,405,4
6438,6439,2012-12-19T00:00:00.000Z,UNLAWFUL ENTRY,402,405,4
6439,6440,2012-12-19T00:00:00.000Z,ADW GUN,403,405,4
6440,6441,2012-12-19T00:00:00.000Z,UCSA POSS MARIJUANA,404,307,3
6441,6442,2012-12-19T00:00:00.000Z,POSSESSION OF BB GUN ON PUBLIC SPACE,601,602,6
6442,6443,2012-12-19T00:00:00.000Z,SIMPLE ASSAULT,601,602,6
6443,6444,2012-12-19T00:00:00.000Z,THREATS (FELONY),603,603,6
6444,6445,2012-12-19T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,603,603,6
6445,6446,2012-12-19T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,603,603,6
6446,6447,2012-12-19T00:00:00.000Z,FUGITIVE FROM JUSTICE,606,102,1
6447,6448,2012-12-19T00:00:00.000Z,CUSTODY ORDER,708,604,6
6448,6449,2012-12-19T00:00:00.000Z,BURGLARY TWO,708,708,7
6449,6450,2012-12-19T00:00:00.000Z,BURGLARY TWO,708,708,7
6450,6451,2012-12-19T00:00:00.000Z,BURGLARY TWO,708,708,7
6451,6452,2012-12-19T00:00:00.000Z,FIRST DEGREE CHILD SEX ABUSE,OUT OF STATE,402,4
6452,6453,2012-12-20T00:00:00.000Z,SIMPLE ASSAULT,308,308,3
6454,6455,2012-12-20T00:00:00.000Z,SIMPLE ASSAULT,507,507,5
6455,6456,2012-12-20T00:00:00.000Z,ATTEMPT TO COMMIT ROBBERY,507,507,5
6457,6458,2012-12-20T00:00:00.000Z,ABSCONDER W/ARREST,603,102,1
6458,6459,2012-12-20T00:00:00.000Z,AGGRAVATED ASSAULT,603,502,5
6459,6460,2012-12-20T00:00:00.000Z,CARJACKING,603,601,6
6460,6461,2012-12-20T00:00:00.000Z,CARJACKING,603,601,6
6461,6462,2012-12-20T00:00:00.000Z,"ROBBERY, SNATCH OR PURSESNATCH (FORCE)",702,702,7
6462,6463,2012-12-20T00:00:00.000Z,"ROBBERY, SNATCH OR PURSESNATCH (FORCE)",702,702,7
6463,6464,2012-12-20T00:00:00.000Z,UCSA POSS DRUG PARAPHERNALIA,703,308,3
6464,6465,2012-12-20T00:00:00.000Z,CUSTODY ORDER,704,704,7
6465,6466,2012-12-20T00:00:00.000Z,THREATS TO DO BODILY HARM-MISD,705,704,7
6466,6467,2012-12-21T00:00:00.000Z,POSSESSION OF PROHIBITED WEAPON (PPW-B),304,607,6
6467,6468,2012-12-21T00:00:00.000Z,APO (MISD),306,306,3
6468,6469,2012-12-21T00:00:00.000Z,SIMPLE ASSAULT,705,707,7
6469,6470,2012-12-22T00:00:00.000Z,SIMPLE ASSAULT,301,301,3
6470,6471,2012-12-22T00:00:00.000Z,CUSTODY ORDER,308,102,1
6471,6472,2012-12-22T00:00:00.000Z,UCSA DIST COCAINE/CRACK COCAINE,409,302,3
6472,6473,2012-12-22T00:00:00.000Z,THEFT 2 (THEFT F/BUILDING),502,305,3
6474,6475,2012-12-23T00:00:00.000Z,ATTEMPT TO COMMIT ROBBERY,703,703,7
6475,6476,2012-12-23T00:00:00.000Z,DESTRUCTION OF PROPERTY (MISD),OUT OF STATE,403,4
6476,6477,2012-12-23T00:00:00.000Z,DESTRUCTION OF PROPERTY (MISD),OUT OF STATE,403,4
